序号,目标色坐标,近邻序号,近邻色坐标,Δuv,Δuv统计,K点比例法Ra,精确法最佳Ra,近邻最佳Ra,近邻最佳RGB混色点,近邻最佳比例值,近邻边界
80,"(0.22135, 0.19324)",2,"(0.23559, 0.19231)",0.0133141139117486,"",,,86.326139960883,"(0.15591, 0.06483)","W=0.8142, RGB=0.1858",
80,"(0.22135, 0.19324)",3,"(0.21240, 0.17775)",0.0169200080747357,"",,,83.4280238834081,"(0.16718, 0.11381)","W=0.5339, RGB=0.4661",
80,"(0.22135, 0.19324)",4,"(0.23953, 0.21348)",0.0224449579243328,"",,,92.6939627168563,"(0.15462, 0.09104)","W=0.7760, RGB=0.2240",
80,"(0.22135, 0.19324)",5,"(0.19197, 0.18260)",0.0263861043561836,"",,,77.271705084378,"(0.17798, 0.16614)","W=0.1720, RGB=0.8280",
80,"(0.22135, 0.19324)",6,"(0.21806, 0.21953)",0.0271805352723381,"",,,90.5922022760936,"(0.16978, 0.16541)","W=0.4688, RGB=0.5312",
81,"(0.22536, 0.21537)",1,"(0.21806, 0.21953)",0.00819031408071004,"dUV max=0.027093, min=0.008190, avg=0.019041",92.4638,92.4709,90.5922022760936,"(0.16978, 0.16541)","W=0.4688, RGB=0.5312",
81,"(0.22536, 0.21537)",2,"(0.23953, 0.21348)",0.0129293067007954,"",,,92.6939627168563,"(0.15462, 0.09104)","W=0.7760, RGB=0.2240",
81,"(0.22536, 0.21537)",3,"(0.21509, 0.19761)",0.0176973668055415,"",,,88.2602294772849,"(0.16891, 0.13858)","W=0.4955, RGB=0.5045",
81,"(0.22536, 0.21537)",4,"(0.24390, 0.23691)",0.0216232647138506,"",,,95.7862222257776,"(0.15303, 0.12327)","W=0.7417, RGB=0.2583",
81,"(0.22536, 0.21537)",5,"(0.22136, 0.24387)",0.0267108182689256,"",,,89.7986193847481,"(0.17051, 0.19622)","W=0.4465, RGB=0.5535",
81,"(0.22536, 0.21537)",6,"(0.19369, 0.20314)",0.0270930525401008,"",,,78.499721438063,"(0.17867, 0.18748)","W=0.1666, RGB=0.8334",
82,"(0.22981, 0.23998)",1,"(0.22136, 0.24387)",0.00832143886352487,"dUV max=0.027807, min=0.008321, avg=0.019042",93.3175,93.3436,89.7986193847481,"(0.17051, 0.19622)","W=0.4465, RGB=0.5535",
82,"(0.22981, 0.23998)",2,"(0.24390, 0.23691)",0.0125871044143368,"",,,95.7862222257776,"(0.15303, 0.12327)","W=0.7417, RGB=0.2583",
82,"(0.22981, 0.23998)",3,"(0.21806, 0.21953)",0.0184790095437123,"",,,90.5922022760936,"(0.16978, 0.16541)","W=0.4688, RGB=0.5312",
82,"(0.22981, 0.23998)",4,"(0.24877, 0.26301)",0.0208019686763396,"",,,93.7586296499503,"(0.15681, 0.16974)","W=0.6906, RGB=0.3094",
82,"(0.22981, 0.23998)",5,"(0.22503, 0.27103)",0.0262587320860364,"",,,86.0171793142068,"(0.17166, 0.23268)","W=0.4247, RGB=0.5753",
82,"(0.22981, 0.23998)",6,"(0.19559, 0.22587)",0.0278066066259785,"",,,78.2284077713913,"(0.18019, 0.21213)","W=0.1552, RGB=0.8448",
83,"(0.23479, 0.26749)",1,"(0.22503, 0.27103)",0.0085310215123425,"dUV max=0.028203, min=0.008531, avg=0.019016",88.8236,89.3504,86.0171793142068,"(0.17166, 0.23268)","W=0.4247, RGB=0.5753",
83,"(0.23479, 0.26749)",2,"(0.24877, 0.26301)",0.0122910661285979,"",,,93.7586296499503,"(0.15681, 0.16974)","W=0.6906, RGB=0.3094",
83,"(0.23479, 0.26749)",3,"(0.22136, 0.24387)",0.0192644148327758,"",,,89.7986193847481,"(0.17051, 0.19622)","W=0.4465, RGB=0.5535",
83,"(0.23479, 0.26749)",4,"(0.25422, 0.29224)",0.0199811187875847,"",,,91.4580085353034,"(0.16735, 0.23011)","W=0.6244, RGB=0.3756",
83,"(0.23479, 0.26749)",5,"(0.22917, 0.30154)",0.0258252026556013,"",,,82.6764792851152,"(0.17924, 0.27886)","W=0.3746, RGB=0.6254",
83,"(0.23479, 0.26749)",6,"(0.24390, 0.23691)",0.0282027945444357,"",,,95.7862222257776,"(0.15303, 0.12327)","W=0.7417, RGB=0.2583",
84,"(0.24039, 0.29845)",1,"(0.22917, 0.30154)",0.00881346666157465,"dUV max=0.028557, min=0.008813, avg=0.019007",85.2097,85.6029,82.6764792851152,"(0.17924, 0.27886)","W=0.3746, RGB=0.6254",
84,"(0.24039, 0.29845)",2,"(0.25422, 0.29224)",0.0120445962524146,"",,,91.4580085353034,"(0.16735, 0.23011)","W=0.6244, RGB=0.3756",
84,"(0.24039, 0.29845)",3,"(0.26036, 0.32520)",0.0191607723868767,"",,,88.5966034219034,"(0.18115, 0.29950)","W=0.5580, RGB=0.4420",
84,"(0.24039, 0.29845)",4,"(0.22503, 0.27103)",0.020053140583158,"",,,86.0171793142068,"(0.17166, 0.23268)","W=0.4247, RGB=0.5753",
84,"(0.24039, 0.29845)",5,"(0.23384, 0.33606)",0.0254111797621741,"",,,79.5109182024614,"(0.18961, 0.33035)","W=0.3192, RGB=0.6808",
84,"(0.24039, 0.29845)",6,"(0.24877, 0.26301)",0.0285571622236831,"",,,93.7586296499503,"(0.15681, 0.16974)","W=0.6906, RGB=0.3094",
85,"(0.24675, 0.33357)",1,"(0.23384, 0.33606)",0.00916203822363189,"dUV max=0.028931, min=0.009162, avg=0.019025",81.6774,82.0277,79.5109182024614,"(0.18961, 0.33035)","W=0.3192, RGB=0.6808",
85,"(0.24675, 0.33357)",2,"(0.26036, 0.32520)",0.0118507879255249,"",,,88.5966034219034,"(0.18115, 0.29950)","W=0.5580, RGB=0.4420",
85,"(0.24675, 0.33357)",3,"(0.26735, 0.36266)",0.0183409970335791,"",,,85.4970799433015,"(0.19761, 0.37716)","W=0.4939, RGB=0.5061",
85,"(0.24675, 0.33357)",4,"(0.22917, 0.30154)",0.0208448098795007,"",,,82.6764792851152,"(0.17924, 0.27886)","W=0.3746, RGB=0.6254",
85,"(0.24675, 0.33357)",5,"(0.23917, 0.37544)",0.0250176318798191,"",,,76.3020229871864,"(0.20113, 0.38614)","W=0.2672, RGB=0.7328",
85,"(0.24675, 0.33357)",6,"(0.25422, 0.29224)",0.0289308190635838,"",,,91.4580085353034,"(0.16735, 0.23011)","W=0.6244, RGB=0.3756",
86,"(0.25401, 0.37373)",1,"(0.23917, 0.37544)",0.00956951291831836,"dUV max=0.029323, min=0.009570, avg=0.019069",78.3242,78.6388,76.3020229871864,"(0.20113, 0.38614)","W=0.2672, RGB=0.7328",
86,"(0.25401, 0.37373)",2,"(0.26735, 0.36266)",0.0117122556876897,"",,,85.4970799433015,"(0.19761, 0.37716)","W=0.4939, RGB=0.5061",
86,"(0.25401, 0.37373)",3,"(0.27535, 0.40561)",0.017521872878656,"",,,81.8767047355382,"(0.21682, 0.46273)","W=0.4317, RGB=0.5683",
86,"(0.25401, 0.37373)",4,"(0.23384, 0.33606)",0.0216390996541707,"",,,79.5109182024614,"(0.18961, 0.33035)","W=0.3192, RGB=0.6808",
86,"(0.25401, 0.37373)",5,"(0.24532, 0.42078)",0.0246455398826783,"",,,72.5719915371447,"(0.21429, 0.44607)","W=0.2159, RGB=0.7841",
86,"(0.25401, 0.37373)",6,"(0.26036, 0.32520)",0.0293230276809184,"",,,88.5966034219034,"(0.18115, 0.29950)","W=0.5580, RGB=0.4420",
87,"(0.26240, 0.42010)",1,"(0.24532, 0.42078)",0.0100287134689541,"dUV max=0.028890, min=0.010029, avg=0.018997",74.9099,75.1766,72.5719915371447,"(0.21429, 0.44607)","W=0.2159, RGB=0.7841",
87,"(0.26240, 0.42010)",2,"(0.27535, 0.40561)",0.0116309748257772,"",,,81.8767047355382,"(0.21682, 0.46273)","W=0.4317, RGB=0.5683",
87,"(0.26240, 0.42010)",3,"(0.28463, 0.45536)",0.0167034957249019,"",,,76.7152782064378,"(0.24019, 0.55220)","W=0.3650, RGB=0.6350",
87,"(0.26240, 0.42010)",4,"(0.23917, 0.37544)",0.0224357315913622,"",,,76.3020229871864,"(0.20113, 0.38614)","W=0.2672, RGB=0.7328",
87,"(0.26240, 0.42010)",5,"(0.25246, 0.47354)",0.024295889582585,"",,,67.1650358989125,"(0.23012, 0.50792)","W=0.1593, RGB=0.8407",
87,"(0.26240, 0.42010)",6,"(0.31464, 0.43839)",0.0288900273814448,"",,,84.1180112230032,"(0.27990, 0.60357)","W=0.5163, RGB=0.4837",R-G
88,"(0.27220, 0.47424)",1,"(0.25246, 0.47354)",0.0105328767892199,"dUV max=0.028233, min=0.010533, avg=0.018911",70.5178,70.6853,67.1650358989125,"(0.23012, 0.50792)","W=0.1593, RGB=0.8407",
88,"(0.27220, 0.47424)",2,"(0.28463, 0.45536)",0.0116081480335084,"",,,76.7152782064378,"(0.24019, 0.55220)","W=0.3650, RGB=0.6350",
88,"(0.27220, 0.47424)",3,"(0.29549, 0.51364)",0.0158859810195586,"",,,66.5454499831201,"(0.27373, 0.60805)","W=0.2475, RGB=0.7525",R-G
88,"(0.27220, 0.47424)",4,"(0.24532, 0.42078)",0.023234464777614,"",,,72.5719915371447,"(0.21429, 0.44607)","W=0.2159, RGB=0.7841",
88,"(0.27220, 0.47424)",5,"(0.26088, 0.53572)",0.0239696630843164,"",,,56.7408418947733,"(0.24815, 0.56848)","W=0.0972, RGB=0.9028",
88,"(0.27220, 0.47424)",6,"(0.32760, 0.49316)",0.0282328608429623,"",,,67.8777437989625,"(0.32442, 0.57122)","W=0.2484, RGB=0.7516",R-G
89,"(0.28379, 0.53829)",1,"(0.26088, 0.53572)",0.0110758645864494,"dUV max=0.027585, min=0.011076, avg=0.018846",61.7438,61.8514,56.7408418947733,"(0.24815, 0.56848)","W=0.0972, RGB=0.9028",
89,"(0.28379, 0.53829)",2,"(0.29549, 0.51364)",0.0116441190909318,"",,,66.5454499831201,"(0.27373, 0.60805)","W=0.2475, RGB=0.7525",R-G
89,"(0.28379, 0.53829)",3,"(0.30840, 0.58286)",0.0150694691260742,"",,,33.2986104795885,"(0.30840, 0.58286)","W=0.0000, RGB=1.0000",
89,"(0.28379, 0.53829)",4,"(0.27095, 0.61007)",0.0236678289965117,"",,,25.6322528734377,"(0.27095, 0.61007)","W=0.0000, RGB=1.0000",
89,"(0.28379, 0.53829)",5,"(0.25246, 0.47354)",0.0240350897279517,"",,,67.1650358989125,"(0.23012, 0.50792)","W=0.1593, RGB=0.8407",
89,"(0.28379, 0.53829)",6,"(0.34289, 0.55781)",0.0275848158217797,"",,,32.6936694006778,"(0.34289, 0.55781)","W=0.0000, RGB=1.0000",
90,"(0.29772, 0.61525)",1,"(0.27095, 0.61007)",0.011652250533,"dUV max=0.031729, min=0.011652, avg=0.023775",27.6199,27.6199,25.6322528734377,"(0.27095, 0.61007)","W=0.0000, RGB=1.0000",
90,"(0.29772, 0.61525)",2,"(0.30840, 0.58286)",0.011738347469117,"",,,33.2986104795885,"(0.30840, 0.58286)","W=0.0000, RGB=1.0000",
90,"(0.29772, 0.61525)",3,"(0.26088, 0.53572)",0.0248374235021501,"",,,56.7408418947733,"(0.24815, 0.56848)","W=0.0972, RGB=0.9028",
90,"(0.29772, 0.61525)",4,"(0.29549, 0.51364)",0.0310628303246806,"",,,66.5454499831201,"(0.27373, 0.60805)","W=0.2475, RGB=0.7525",R-G
90,"(0.29772, 0.61525)",5,"(0.23016, 0.63970)",0.0316333918116299,"",,,12.6483803329603,"(0.23016, 0.63970)","W=-0.0000, RGB=1.0000",
90,"(0.29772, 0.61525)",6,"(0.34289, 0.55781)",0.0317287417647443,"",,,32.6936694006778,"(0.34289, 0.55781)","W=0.0000, RGB=1.0000",
91,"(0.21255, 0.06100)",1,"(0.21029, 0.05660)",0.00976856375350487,"dUV max=0.029934, min=0.009769, avg=0.019820",-198.9814,-198.9814,-195.824317097678,"(0.21029, 0.05660)","W=0.0000, RGB=1.0000",
91,"(0.21255, 0.06100)",2,"(0.21205, 0.06605)",0.0117035255891464,"",,,-127.850432278517,"(0.20739, 0.05518)","W=0.1954, RGB=0.8046",B-R
91,"(0.21255, 0.06100)",3,"(0.22616, 0.06432)",0.0175499184154723,"",,,-211.260879696398,"(0.22616, 0.06432)","W=0.0000, RGB=1.0000",
91,"(0.21255, 0.06100)",4,"(0.19621, 0.05818)",0.0211026098799581,"",,,-105.01478085931,"(0.19104, 0.04723)","W=0.2177, RGB=0.7823",B-R
91,"(0.21255, 0.06100)",5,"(0.19752, 0.06782)",0.0288592408058161,"",,,-57.9424756273821,"(0.18648, 0.04501)","W=0.3862, RGB=0.6138",B-R
91,"(0.21255, 0.06100)",6,"(0.22850, 0.07422)",0.0299342857277484,"",,,-142.929162313174,"(0.22439, 0.06346)","W=0.1772, RGB=0.8228",B-R
92,"(0.21491, 0.07111)",1,"(0.21205, 0.06605)",0.0104905684923669,"dUV max=0.028849, min=0.010491, avg=0.018994",-133.1276,-132.9262,-127.850432278517,"(0.20739, 0.05518)","W=0.1954, RGB=0.8046",B-R
92,"(0.21491, 0.07111)",2,"(0.21393, 0.07616)",0.0112021336741955,"",,,-77.5963883583549,"(0.20402, 0.05355)","W=0.3507, RGB=0.6493",B-R
92,"(0.21491, 0.07111)",3,"(0.22850, 0.07422)",0.0169002381576101,"",,,-142.929162313174,"(0.22439, 0.06346)","W=0.1772, RGB=0.8228",B-R
92,"(0.21491, 0.07111)",4,"(0.19752, 0.06782)",0.0216989448470882,"",,,-57.9424756273821,"(0.18648, 0.04501)","W=0.3862, RGB=0.6138",B-R
92,"(0.21491, 0.07111)",5,"(0.22616, 0.06432)",0.0248227766568383,"",,,-211.260879696398,"(0.22616, 0.06432)","W=0.0000, RGB=1.0000",
92,"(0.21491, 0.07111)",6,"(0.19891, 0.07816)",0.028849054434614,"",,,-22.1113328677067,"(0.18115, 0.04242)","W=0.5206, RGB=0.4794",B-R
93,"(0.21744, 0.08195)",1,"(0.21596, 0.08700)",0.0107410413721965,"dUV max=0.028292, min=0.010741, avg=0.018960",-83.7092,-83.4400,-38.8208859038444,"(0.20009, 0.05163)","W=0.4772, RGB=0.5228",B-R
93,"(0.21744, 0.08195)",2,"(0.21393, 0.07616)",0.0112270254317757,"",,,-77.5963883583549,"(0.20402, 0.05355)","W=0.3507, RGB=0.6493",B-R
93,"(0.21744, 0.08195)",3,"(0.23101, 0.08483)",0.0162666329166215,"",,,-92.5692478955004,"(0.22233, 0.06246)","W=0.3212, RGB=0.6788",B-R
93,"(0.21744, 0.08195)",4,"(0.19891, 0.07816)",0.0223099788093627,"",,,-22.1113328677067,"(0.18115, 0.04242)","W=0.5206, RGB=0.4794",B-R
93,"(0.21744, 0.08195)",5,"(0.22850, 0.07422)",0.0249252369991435,"",,,-142.929162313174,"(0.22439, 0.06346)","W=0.1772, RGB=0.8228",B-R
93,"(0.21744, 0.08195)",6,"(0.23370, 0.09622)",0.0282920725361161,"",,,-53.6407710436051,"(0.21991, 0.06128)","W=0.4404, RGB=0.5596",B-R
94,"(0.22017, 0.09361)",1,"(0.21813, 0.09866)",0.0103256488382035,"dUV max=0.027471, min=0.010326, avg=0.018902",-45.1773,-44.8833,-7.97790534293346,"(0.19540, 0.04935)","W=0.5821, RGB=0.4179",B-R
94,"(0.22017, 0.09361)",2,"(0.21596, 0.08700)",0.0119752685174247,"",,,-38.8208859038444,"(0.20009, 0.05163)","W=0.4772, RGB=0.5228",B-R
94,"(0.22017, 0.09361)",3,"(0.23370, 0.09622)",0.0156510551200316,"",,,-53.6407710436051,"(0.21991, 0.06128)","W=0.4404, RGB=0.5596",B-R
94,"(0.22017, 0.09361)",4,"(0.20042, 0.08925)",0.0229345369418573,"",,,5.687128492584,"(0.17485, 0.03935)","W=0.6302, RGB=0.3698",B-R
94,"(0.22017, 0.09361)",5,"(0.23101, 0.08483)",0.0250545708651664,"",,,-92.5692478955004,"(0.22233, 0.06246)","W=0.3212, RGB=0.6788",B-R
94,"(0.22017, 0.09361)",6,"(0.23660, 0.10848)",0.0274714696815981,"",,,-22.503372597206,"(0.21703, 0.05988)","W=0.5408, RGB=0.4592",B-R
95,"(0.22311, 0.10619)",1,"(0.22047, 0.11122)",0.00996167462661377,"dUV max=0.026651, min=0.009962, avg=0.018864",-14.2533,-13.9645,17.0764033894093,"(0.18975, 0.04660)","W=0.6706, RGB=0.3294",B-R
95,"(0.22311, 0.10619)",2,"(0.21813, 0.09866)",0.0127332201484573,"",,,-7.97790534293346,"(0.19540, 0.04935)","W=0.5821, RGB=0.4179",B-R
95,"(0.22311, 0.10619)",3,"(0.23660, 0.10848)",0.0150557161756715,"",,,-22.503372597206,"(0.21703, 0.05988)","W=0.5408, RGB=0.4592",B-R
95,"(0.22311, 0.10619)",4,"(0.20203, 0.10118)",0.0235715442486607,"",,,27.1013433741779,"(0.16727, 0.03566)","W=0.7213, RGB=0.2787",B-R
95,"(0.22311, 0.10619)",5,"(0.23370, 0.09622)",0.0252103646597536,"",,,-53.6407710436051,"(0.21991, 0.06128)","W=0.4404, RGB=0.5596",B-R
95,"(0.22311, 0.10619)",6,"(0.23974, 0.12172)",0.0266512440199524,"",,,3.03213706060082,"(0.21352, 0.05817)","W=0.6265, RGB=0.3735",B-R
96,"(0.22629, 0.11980)",1,"(0.22300, 0.12481)",0.00965493563257309,"dUV max=0.025831, min=0.009655, avg=0.018847",10.9355,11.3590,37.6761921168151,"(0.18278, 0.04321)","W=0.7462, RGB=0.2538",B-R
96,"(0.22629, 0.11980)",2,"(0.22047, 0.11122)",0.0134992450862892,"",,,17.0764033894093,"(0.18975, 0.04660)","W=0.6706, RGB=0.3294",B-R
96,"(0.22629, 0.11980)",3,"(0.23974, 0.12172)",0.0144831120972135,"",,,3.03213706060082,"(0.21352, 0.05817)","W=0.6265, RGB=0.3735",B-R
96,"(0.22629, 0.11980)",4,"(0.20378, 0.11407)",0.0242200184777326,"",,,43.2857872626208,"(0.16449, 0.04291)","W=0.7113, RGB=0.2887",
96,"(0.22629, 0.11980)",5,"(0.23660, 0.10848)",0.0253921313517369,"",,,-22.503372597206,"(0.21703, 0.05988)","W=0.5408, RGB=0.4592",B-R
96,"(0.22629, 0.11980)",6,"(0.24313, 0.13605)",0.0258314314822291,"",,,24.3622245391637,"(0.20918, 0.05606)","W=0.7005, RGB=0.2995",B-R
97,"(0.22974, 0.13458)",1,"(0.22575, 0.13954)",0.00941103002001855,"dUV max=0.025599, min=0.009411, avg=0.018852",31.7653,32.4044,54.6257048371244,"(0.17399, 0.03893)","W=0.8116, RGB=0.1884",B-R
97,"(0.22974, 0.13458)",2,"(0.24313, 0.13605)",0.0139360455562005,"",,,24.3622245391637,"(0.20918, 0.05606)","W=0.7005, RGB=0.2995",B-R
97,"(0.22974, 0.13458)",3,"(0.22300, 0.12481)",0.0142720434316977,"",,,37.6761921168151,"(0.18278, 0.04321)","W=0.7462, RGB=0.2538",B-R
97,"(0.22974, 0.13458)",4,"(0.20567, 0.12801)",0.0248790629872353,"",,,56.5528506372262,"(0.16471, 0.05723)","W=0.6615, RGB=0.3385",
97,"(0.22974, 0.13458)",5,"(0.24681, 0.15163)",0.0250120726909458,"",,,42.4063161912303,"(0.20365, 0.05337)","W=0.7651, RGB=0.2349",B-R
97,"(0.22974, 0.13458)",6,"(0.23974, 0.12172)",0.0255993176892653,"",,,3.03213706060082,"(0.21352, 0.05817)","W=0.6265, RGB=0.3735",B-R
98,"(0.23350, 0.15068)",1,"(0.22874, 0.15558)",0.00923493764311553,"dUV max=0.025831, min=0.009235, avg=0.018879",49.2549,50.0204,68.2321479847341,"(0.16253, 0.03335)","W=0.8687, RGB=0.1313",B-R
98,"(0.23350, 0.15068)",2,"(0.24681, 0.15163)",0.0134176405800171,"",,,42.4063161912303,"(0.20365, 0.05337)","W=0.7651, RGB=0.2349",B-R
98,"(0.23350, 0.15068)",3,"(0.22575, 0.13954)",0.0150505718429167,"",,,54.6257048371244,"(0.17399, 0.03893)","W=0.8116, RGB=0.1884",B-R
98,"(0.23350, 0.15068)",4,"(0.25083, 0.16863)",0.0241932137476439,"",,,57.7379236877422,"(0.19638, 0.04983)","W=0.8219, RGB=0.1781",B-R
98,"(0.23350, 0.15068)",5,"(0.20772, 0.14316)",0.0255478597626077,"",,,67.537792642724,"(0.16491, 0.07312)","W=0.6189, RGB=0.3811",
98,"(0.23350, 0.15068)",6,"(0.24313, 0.13605)",0.0258313120261813,"",,,24.3622245391637,"(0.20918, 0.05606)","W=0.7005, RGB=0.2995",B-R
99,"(0.23762, 0.16828)",1,"(0.23201, 0.17310)",0.00913058288241938,"dUV max=0.026226, min=0.009131, avg=0.018931",63.9893,64.6877,78.2000424873287,"(0.15664, 0.04249)","W=0.8592, RGB=0.1408",
99,"(0.23762, 0.16828)",2,"(0.25083, 0.16863)",0.012931344670625,"",,,57.7379236877422,"(0.19638, 0.04983)","W=0.8219, RGB=0.1781",B-R
99,"(0.23762, 0.16828)",3,"(0.22874, 0.15558)",0.0158339851315871,"",,,68.2321479847341,"(0.16253, 0.03335)","W=0.8687, RGB=0.1313",B-R
99,"(0.23762, 0.16828)",4,"(0.25523, 0.18723)",0.0233749071837118,"",,,70.3348785300698,"(0.18640, 0.04497)","W=0.8722, RGB=0.1278",B-R
99,"(0.23762, 0.16828)",5,"(0.24681, 0.15163)",0.0260874525221976,"",,,42.4063161912303,"(0.20365, 0.05337)","W=0.7651, RGB=0.2349",B-R
99,"(0.23762, 0.16828)",6,"(0.20995, 0.15968)",0.0262256627188501,"",,,76.4963277051568,"(0.16553, 0.09161)","W=0.5781, RGB=0.4219",
100,"(0.24214, 0.18761)",1,"(0.23559, 0.19231)",0.00910043392037906,"dUV max=0.026912, min=0.009100, avg=0.019006",75.5043,76.3893,86.326139960883,"(0.15591, 0.06483)","W=0.8142, RGB=0.1858",
100,"(0.24214, 0.18761)",2,"(0.25523, 0.18723)",0.0124809116058273,"",,,70.3348785300698,"(0.18640, 0.04497)","W=0.8722, RGB=0.1278",B-R
100,"(0.24214, 0.18761)",3,"(0.23201, 0.17310)",0.0166215926060595,"",,,78.2000424873287,"(0.15664, 0.04249)","W=0.8592, RGB=0.1408",
100,"(0.24214, 0.18761)",4,"(0.26007, 0.20768)",0.0225572131151228,"",,,79.3401314237815,"(0.17183, 0.03788)","W=0.9172, RGB=0.0828",B-R
100,"(0.24214, 0.18761)",5,"(0.25083, 0.16863)",0.0263670354888055,"",,,57.7379236877422,"(0.19638, 0.04983)","W=0.8219, RGB=0.1781",B-R
100,"(0.24214, 0.18761)",6,"(0.21240, 0.17775)",0.0269117913729624,"",,,83.4280238834081,"(0.16718, 0.11381)","W=0.5339, RGB=0.4661",
101,"(0.24712, 0.20893)",1,"(0.23953, 0.21348)",0.00914522468677605,"dUV max=0.027506, min=0.009145, avg=0.019091",84.3107,84.9264,92.6939627168563,"(0.15462, 0.09104)","W=0.7760, RGB=0.2240",
101,"(0.24712, 0.20893)",2,"(0.26007, 0.20768)",0.0120703569665685,"",,,79.3401314237815,"(0.17183, 0.03788)","W=0.9172, RGB=0.0828",B-R
101,"(0.24712, 0.20893)",3,"(0.23559, 0.19231)",0.0174128251482131,"",,,86.326139960883,"(0.15591, 0.06483)","W=0.8142, RGB=0.1858",
101,"(0.24712, 0.20893)",4,"(0.26542, 0.23028)",0.0217402006536508,"",,,84.8516135590899,"(0.15212, 0.03276)","W=0.9466, RGB=0.0534",G-B
101,"(0.24712, 0.20893)",5,"(0.25523, 0.18723)",0.026669323671662,"",,,70.3348785300698,"(0.18640, 0.04497)","W=0.8722, RGB=0.1278",B-R
101,"(0.24712, 0.20893)",6,"(0.24390, 0.23691)",0.027505743117848,"",,,95.7862222257776,"(0.15303, 0.12327)","W=0.7417, RGB=0.2583",
102,"(0.25265, 0.23258)",1,"(0.24390, 0.23691)",0.00926386824550192,"dUV max=0.027067, min=0.009264, avg=0.019027",90.0835,90.5572,95.7862222257776,"(0.15303, 0.12327)","W=0.7417, RGB=0.2583",
102,"(0.25265, 0.23258)",2,"(0.26542, 0.23028)",0.0117038781330922,"",,,84.8516135590899,"(0.15212, 0.03276)","W=0.9466, RGB=0.0534",G-B
102,"(0.25265, 0.23258)",3,"(0.23953, 0.21348)",0.018207210159403,"",,,92.6939627168563,"(0.15462, 0.09104)","W=0.7760, RGB=0.2240",
102,"(0.25265, 0.23258)",4,"(0.27135, 0.25538)",0.0209239496430968,"",,,89.3830208146098,"(0.15116, 0.07437)","W=0.9008, RGB=0.0992",G-B
102,"(0.25265, 0.23258)",5,"(0.26007, 0.20768)",0.0269935542862696,"",,,79.3401314237815,"(0.17183, 0.03788)","W=0.9172, RGB=0.0828",B-R
102,"(0.25265, 0.23258)",6,"(0.24877, 0.26301)",0.0270672887987589,"",,,93.7586296499503,"(0.15681, 0.16974)","W=0.6906, RGB=0.3094",
103,"(0.25881, 0.25894)",1,"(0.24877, 0.26301)",0.00945358442255572,"dUV max=0.027339, min=0.009454, avg=0.018990",93.5904,93.9919,93.7586296499503,"(0.15681, 0.16974)","W=0.6906, RGB=0.3094",
103,"(0.25881, 0.25894)",2,"(0.27135, 0.25538)",0.011385731977968,"",,,89.3830208146098,"(0.15116, 0.07437)","W=0.9008, RGB=0.0992",G-B
103,"(0.25881, 0.25894)",3,"(0.24390, 0.23691)",0.0190043523225883,"",,,95.7862222257776,"(0.15303, 0.12327)","W=0.7417, RGB=0.2583",
103,"(0.25881, 0.25894)",4,"(0.27798, 0.28341)",0.0201085528106494,"",,,94.5099321291668,"(0.14983, 0.13210)","W=0.8592, RGB=0.1408",G-B
103,"(0.25881, 0.25894)",5,"(0.25422, 0.29224)",0.026647274243941,"",,,91.4580085353034,"(0.16735, 0.23011)","W=0.6244, RGB=0.3756",
103,"(0.25881, 0.25894)",6,"(0.26542, 0.23028)",0.0273389466544273,"",,,84.8516135590899,"(0.15212, 0.03276)","W=0.9466, RGB=0.0534",G-B
104,"(0.26572, 0.28853)",1,"(0.25422, 0.29224)",0.00971020830181962,"dUV max=0.027705, min=0.009710, avg=0.018980",94.0815,94.5717,91.4580085353034,"(0.16735, 0.23011)","W=0.6244, RGB=0.3756",
104,"(0.26572, 0.28853)",2,"(0.27798, 0.28341)",0.0111200676823454,"",,,94.5099321291668,"(0.14983, 0.13210)","W=0.8592, RGB=0.1408",G-B
104,"(0.26572, 0.28853)",3,"(0.28544, 0.31493)",0.01929411845295,"",,,94.6085444698083,"(0.17152, 0.23432)","W=0.7794, RGB=0.2206",
104,"(0.26572, 0.28853)",4,"(0.24877, 0.26301)",0.0198039187000813,"",,,93.7586296499503,"(0.15681, 0.16974)","W=0.6906, RGB=0.3094",
104,"(0.26572, 0.28853)",5,"(0.26036, 0.32520)",0.026246584722857,"",,,88.5966034219034,"(0.18115, 0.29950)","W=0.5580, RGB=0.4420",
104,"(0.26572, 0.28853)",6,"(0.27135, 0.25538)",0.0277047093218368,"",,,89.3830208146098,"(0.15116, 0.07437)","W=0.9008, RGB=0.0992",G-B
105,"(0.27353, 0.32196)",1,"(0.26036, 0.32520)",0.0100286048561617,"dUV max=0.028090, min=0.010029, avg=0.018997",90.9296,91.4334,88.5966034219034,"(0.18115, 0.29950)","W=0.5580, RGB=0.4420",
105,"(0.27353, 0.32196)",2,"(0.28544, 0.31493)",0.0109107195505948,"",,,94.6085444698083,"(0.17152, 0.23432)","W=0.7794, RGB=0.2206",
105,"(0.27353, 0.32196)",3,"(0.29388, 0.35063)",0.0184807738171392,"",,,92.3780795591851,"(0.19702, 0.35482)","W=0.7064, RGB=0.2936",
105,"(0.27353, 0.32196)",4,"(0.25422, 0.29224)",0.0206056270912517,"",,,91.4580085353034,"(0.16735, 0.23011)","W=0.6244, RGB=0.3756",
